brahim | Select * from produits | 2020:04:12 16:07:41 | 127.0.0.1
brahim | Select * from produits | 2020:04:12 16:07:47 | 127.0.0.1
user | Select * from produits | 2020:04:12 16:08:43 | 127.0.0.1
brahim | Select * from produits | 2020:04:12 16:09:03 | 127.0.0.1
brahim | Select * from produits | 2020:04:12 16:13:35 | 127.0.0.1
brahim | Select * from produits | 2020:04:12 16:19:05 | 127.0.0.1
brahim | Select * from produits | 2020:04:12 16:46:54 | 127.0.0.1
brahim | Select * from produits | 2020:04:13 12:18:15 | 127.0.0.1
brahim | Select * from produits | 2020:04:13 12:20:39 | 127.0.0.1
brahim | Select * from produits | 2020:04:13 12:46:11 | 127.0.0.1
brahim | Select * from produits | 2020:04:13 12:56:47 | 127.0.0.1
brahim | Select * from produits | 2020:04:13 13:24:36 | 127.0.0.1
brahim | Select * from produits | 2020:04:13 13:24:45 | 127.0.0.1
brahim | Select * from produits | 2020:04:13 13:34:45 | 127.0.0.1
brahim | Select * from produits | 2020:04:13 14:07:10 | 127.0.0.1
brahim | Select * from produits | 2020:04:13 14:19:21 | 127.0.0.1
brahim | Select * from produits | 2020:04:13 14:23:08 | 127.0.0.1
brahim | Select * from produits | 2020:04:13 14:31:14 | 127.0.0.1
brahim | Select * from produits | 2020:04:13 14:38:24 | 127.0.0.1
brahim | Select * from produits | 2020:04:13 14:38:58 | 127.0.0.1
brahim | Select * from produits | 2020:04:13 14:39:22 | 127.0.0.1
brahim | Select * from produits | 2020:04:13 14:39:43 | 127.0.0.1
brahim | Select * from produits | 2020:04:13 14:41:00 | 127.0.0.1
brahim | Select * from produits | 2020:04:13 15:46:40 | 127.0.0.1
brahim | Select * from produits | 2020:04:13 15:46:46 | 127.0.0.1
brahim | Select * from produits | 2020:04:20 14:00:57 | 127.0.0.1
brahim | Select * from produits WHERE designation like '%hello%' OR description like '%hello%' | 2020:04:20 14:04:59 | 127.0.0.1
brahim | Select * from produits | 2020:04:20 14:05:14 | 127.0.0.1
